"Pathway Name","Full Stack Developer"
"Pathway Description","Good links to all parts of the stack, even though that's a ridiculously large area."
"Content Warning","!!!WARNING: Please basically ignore this pathway. This is an ad hoc development pathway that I've been using to quickly test this system. The links contained within work but many times the ""curator context"" is comedically incomplete or wrong. "
"Acknowledgments","The Corporate Learning Branch would like to acknowledge the support we received from many of our colleagues and partners in multiple branches/ministries during the development of this learning resource. We also appreciate the invaluable comments we received during our engagement sessions.

In particular, our sincere thanks go out to colleagues and partners at the following entities:

* Policy & Legislation, BC Data Service, CITZ
* Multiculturalism & Anti-Racism Branch, AG
* PSA REDI, Policy and Employee Relations
* SDPR Inclusion, Diversity and Cultural Safety (IDCS) & Anti-Racism 101 course
* BIPOC Employee Resource Group
* Indigenous Employees Network"
"Created Date","2025-05-04T20:53:16.332Z"
"Total Steps","5"
""
"Step","Title","URL","Description","Context","Type","Content Type","Sort Order"
"Front End","Tailwind Labs - YouTube","https://www.youtube.com/channel/UCOe-8z68tgw9ioqVvYM4ddQ","We're a small team of developers and designers spread out all across the world, building tools that help other developers build better user interfaces. We cr...","Watch this!","Required","Watch",""
"Front End","10 ways to speed up web font loading","https://byteofdev.com/posts/speed-up-font-loading/","Font loading can slow page load times significantly. This article shows you how to reduce the impact.","Performance is king.","Required","Watch","1"
"Front End","SimplePie Documentation: Documentation","https://www.simplepie.org/wiki/","A super-fast, easy-to-use, RSS and Atom parser written in PHP.","More tetsing","Required","Read","2"
"Front End","</> htmx - high power tools for html","https://htmx.org/","htmx gives you access to AJAX, CSS Transitions, WebSockets and Server Sent Events directly in HTML, using attributes, so you can build modern user interfaces with the simplicity and power of hypertext

    htmx is small (~14k min.gz’d), dependency-free, extendable, IE11 compatible & has reduced code base sizes by 67% when compared with react","Fun stuff.","Required","Read","3"
"Front End","What do I need to read to be a great at CSS?","https://www.baldurbjarnason.com/2021/what-do-i-need-to-read-to-be-a-css-dev/","Web dev at the end of the world, from Hveragerði, Iceland","Good words.","Bonus","Read","4"
"Front End","Testing dead link","https://web-bdec76-prod.apps.silver.devops.gov.bc.ca/","This link should be dead.","Test","Required","Read","5"
"Front End","systemfontstack","https://systemfontstack.com/","Webfonts were great when most computers only had a handful of good fonts pre-installed. Thanks to font creation and buying by Apple, Microsoft, Google, and other folks, most computers have good—no, great—fonts installed, and they're a great option if you want to not load a separate font.","BC Sans is cool and all...","Required","Read","6"
"Front End","A Beginner's Guide to HTML, CSS, and JavaScript | HackerNoon","https://hackernoon.com/a-beginners-guide-to-html-css-and-javascript","Unlock Your Web Development Potential with this Beginner's Guide to HTML, CSS, and JavaScript! Learn the Fundamentals and Create Stunning Websites.","","Required","Read","7"
"Back End","GitHub - bcgov/sso-keycloak","https://github.com/bcgov/sso-keycloak#specifying-an-idp-to-bypass-the-keycloak-login-page","Contribute to bcgov/sso-keycloak development by creating an account on GitHub.","SSO DIY","Required","Read",""
"Back End","How to Prevent WordPress Users from Creating New Tags - PublishPress","https://publishpress.com/blog/permissions/stop-users-creating-new-tags/","This tutorial shows how to block users in some roles from creating new Tags. Users such as Authors can normally create Tags.","Foo mistake","Required","Listen","1"
"Back End","How to Set Up Nginx, MariaDB, and PHP with Docker Compose","https://linuxiac.com/how-to-set-up-lemp-stack-with-docker-compose/","This guide shows you how to set up your LEMP (Nginx, MariaDB, PHP) stack easily and quickly using Docker Compose.","","Required","Participate","2"
"Back End","Tutorial 0 - Get it RunningView","https://postgrest.org/en/stable/tutorials/tut0.html","Welcome to PostgREST! In this pre-tutorial we’re going to get things running so you can create your first simple API. PostgREST is a standalone web server which turns a PostgreSQL database into a RESTful API. It serves an API that is customized based on the structure of the underlying database.","Testing merging.","Bonus","Listen","3"
"Platforms","BC Developer Guide | A guide to application development for the B.C. government. | B.C. government DevHub","https://developer.gov.bc.ca/docs/default/component/bc-developer-guide/use-github-in-bcgov/bc-government-organizations-in-github/#ministry-specific-private-organizations-in-github-enterprise","The B.C. government DevHub is a place to access common technical documentation, community knowledge bases, code samples and APIs.","Do yourself a favor and know this stuff.","Required","Read",""
"Platforms","Common Hosted Single Sign-on (CSS)","https://bcgov.github.io/sso-requests/","The request process workflow tool for the RedHat SSO Dev Exchange service","We use this for Moodle and it should be preferred solution for SSO.","Required","Read","1"
"Platforms","PSA Learning System Homepage","https://learning.gov.bc.ca/psc/CHIPSPLM/EMPLOYEE/ELM/c/NUI_FRAMEWORK.PT_LANDINGPAGE.GBL?","Main registration platform for courses.","It's not the only game in town.","Required","Read","2"
"Platforms","Just Ask! for Github organization access","https://just-ask-web-bdec76-prod.apps.silver.devops.gov.bc.ca/","Just Ask! A github app to just ask for Github organization access","","Required","Read","3"
"Security","Diceware Passphrase Home","https://theworld.com/~reinhold/diceware.html","This page offers a better way to create a strong, yet easy to remember, passphrase for use with encryption and security programs. Weak passwords and passphrases are one of the most common flaws in computer security. Take a few minutes and learn how to do it right. The information presented here can be used by anyone. No background in cryptography or mathematics is required. Just follow the simple steps below.","Good tool.","Required","Read",""
"Misc","5 Principles of Exceptional Case Studies in UX Portfolios | UX Tools","https://uxtools.co/blog/5-principles-of-exceptional-case-studies-in-ux-portfolios/","Principles to help you write unique and compelling UX Design case studies for your portfolio.","Because iut's good.","Required","Read",""
"Misc","Archivematica: open-source digital preservation system","https://www.archivematica.org/en/","Archivematica: open-source digital preservation system","It doesn't matter how good your system is for taking backups if you never try to restore from those backups.","Required","Read","1"
"Misc","WakaTime - Dashboards for developers","https://wakatime.com/","Open source IDE plugins for programmers.","You might be asked to track how much time you're spending on different projects.","Required","Read","2"
"Misc","Linux: An Introduction to User Management - The New Stack","https://thenewstack.io/linux-an-introduction-to-user-management/","Should you use useradd or adduser? This tutorial will teach you how to manage other users on your Linux machine.","Basics! Gotta learn it.","Required","Read","3"